Planner,Domain,Instance,IPC_Score
madagascar,barman,instance-02.pddl,0.0
madagascar,barman,instance-03.pddl,0.0
madagascar,barman,instance-04.pddl,0.5935525544653545
madagascar,barman,instance-07.pddl,0.0
madagascar,barman,instance-08.pddl,0.0
madagascar,barman,instance-09.pddl,0.5283758618555044
madagascar,barman,instance-11.pddl,0.0
madagascar,barman,instance-12.pddl,0.0
madagascar,barman,instance-13.pddl,0.0
madagascar,barman,instance-14.pddl,0.0
madagascar,barman,instance-16.pddl,0.0
madagascar,barman,instance-17.pddl,0.36292210941065234
madagascar,barman,instance-18.pddl,0.34444715999771186
madagascar,barman,instance-19.pddl,0.0
madagascar,depots,instance-01.pddl,0.9118325098834864
madagascar,depots,instance-02.pddl,0.911498077929703
madagascar,depots,instance-03.pddl,0.9124266929119481
madagascar,depots,instance-04.pddl,0.9064887289998897
madagascar,depots,instance-07.pddl,0.9137404562441805
madagascar,depots,instance-08.pddl,0.9180532959763898
madagascar,depots,instance-09.pddl,0.9151948707806259
madagascar,depots,instance-11.pddl,0.8892344439609647
madagascar,depots,instance-12.pddl,0.9641727012014502
madagascar,depots,instance-13.pddl,0.910795315673252
madagascar,depots,instance-14.pddl,0.918891289724062
madagascar,depots,instance-16.pddl,0.8606256846918302
madagascar,depots,instance-17.pddl,0.9291986261215562
madagascar,depots,instance-18.pddl,0.936611836554074
madagascar,depots,instance-19.pddl,0.881154305741653
madagascar,ricochet-robots,instance-01.pddl,0.0
madagascar,ricochet-robots,instance-02.pddl,0.0
madagascar,ricochet-robots,instance-03.pddl,0.0
madagascar,ricochet-robots,instance-04.pddl,0.0
madagascar,ricochet-robots,instance-07.pddl,0.0
madagascar,ricochet-robots,instance-08.pddl,0.0
madagascar,ricochet-robots,instance-09.pddl,0.0
madagascar,ricochet-robots,instance-11.pddl,0.0
madagascar,ricochet-robots,instance-12.pddl,0.0
madagascar,ricochet-robots,instance-13.pddl,0.0
madagascar,ricochet-robots,instance-14.pddl,0.0
madagascar,ricochet-robots,instance-16.pddl,0.0
madagascar,ricochet-robots,instance-17.pddl,0.0
madagascar,ricochet-robots,instance-18.pddl,0.0
madagascar,ricochet-robots,instance-19.pddl,0.0
madagascar,snake,instance-01.pddl,0.8297588911258992
madagascar,snake,instance-02.pddl,0.48763596046319674
madagascar,snake,instance-03.pddl,0.5143603417046789
madagascar,snake,instance-04.pddl,0.0
madagascar,snake,instance-07.pddl,0.8891625635539413
madagascar,snake,instance-08.pddl,0.0
madagascar,snake,instance-09.pddl,0.0
madagascar,snake,instance-11.pddl,0.859309570084226
madagascar,snake,instance-12.pddl,0.9049670350435342
madagascar,snake,instance-13.pddl,0.0
madagascar,snake,instance-14.pddl,0.0
madagascar,snake,instance-16.pddl,0.0
madagascar,snake,instance-17.pddl,0.0
madagascar,snake,instance-18.pddl,0.0
madagascar,snake,instance-19.pddl,0.0
madagascar,visitall,instance-01.pddl,0.0
madagascar,visitall,instance-02.pddl,0.0
madagascar,visitall,instance-03.pddl,0.0
madagascar,visitall,instance-04.pddl,0.0
madagascar,visitall,instance-07.pddl,0.0
madagascar,visitall,instance-08.pddl,0.0
madagascar,visitall,instance-09.pddl,0.0
madagascar,visitall,instance-11.pddl,0.0
madagascar,visitall,instance-12.pddl,0.0
madagascar,visitall,instance-13.pddl,0.0
madagascar,visitall,instance-14.pddl,0.0
madagascar,visitall,instance-16.pddl,0.0
madagascar,visitall,instance-17.pddl,0.0
madagascar,visitall,instance-18.pddl,0.0
madagascar,visitall,instance-19.pddl,0.0
