Planner,Domain,Instance,IPC_Score,LLM,Iteration
lama,snake,instance-16.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-17.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-18.pddl,0.0,DeepSeek-R1,1
lama,snake,instance-19.pddl,0.0,DeepSeek-R1,1
lama,visitall,instance-01.pddl,1.0,Claude Opus 4.6,2
lama,visitall,instance-02.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-03.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-04.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-07.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-08.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-09.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-11.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-12.pddl,1.0,Claude Opus 4.6,2
lama,visitall,instance-13.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-14.pddl,1.0,Claude Opus 4.6,2
lama,visitall,instance-16.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-17.pddl,1.0,Claude Opus 4.6,2
lama,visitall,instance-18.pddl,1.0,Claude Opus 4.6,3
lama,visitall,instance-19.pddl,1.0,Claude Opus 4.6,3
madagascar,barman,instance-01.pddl,0.6280190878759354,GPT-5.4,2
madagascar,barman,instance-02.pddl,1.0,Gemini 3.1 Pro,1
madagascar,barman,instance-03.pddl,0.0,DeepSeek-R1,2
madagascar,barman,instance-04.pddl,0.744032629877297,Gemini 3.1 Pro,1
madagascar,barman,instance-07.pddl,0.0,Gemini 3.1 Pro,1
madagascar,barman,instance-08.pddl,0.0,Gemini 3.1 Pro,1
madagascar,barman,instance-09.pddl,0.9887012746928492,DeepSeek-R1,3
madagascar,barman,instance-11.pddl,0.8544473379558691,DeepSeek-R1,3
madagascar,barman,instance-12.pddl,1.0,Gemini 3.1 Pro,2
madagascar,barman,instance-13.pddl,0.0,Gemini 3.1 Pro,1
madagascar,barman,instance-14.pddl,0.9046945491089552,Gemini 3.1 Pro,3
madagascar,barman,instance-16.pddl,0.37037885695996836,DeepSeek-R1,2
madagascar,barman,instance-17.pddl,1.0,GPT-5.4,3
madagascar,barman,instance-18.pddl,1.0,Gemini 3.1 Pro,1
madagascar,barman,instance-19.pddl,0.0,Gemini 3.1 Pro,1
madagascar,depots,instance-01.pddl,0.9321001963661707,Claude Opus 4.6,1
madagascar,depots,instance-02.pddl,0.925086089210681,Gemini 3.1 Pro,3
madagascar,depots,instance-03.pddl,0.9198671096422162,Claude Opus 4.6,1
madagascar,depots,instance-04.pddl,0.9205617233136938,GPT-5.4,1
madagascar,depots,instance-07.pddl,0.9329559619381326,DeepSeek-R1,2
madagascar,depots,instance-08.pddl,0.9337945181043519,Gemini 3.1 Pro,1
madagascar,depots,instance-09.pddl,0.9364970633145598,DeepSeek-R1,3
madagascar,depots,instance-11.pddl,0.9135501161086812,Claude Opus 4.6,1
madagascar,depots,instance-12.pddl,0.9131776569947415,GPT-5.4,2
madagascar,depots,instance-13.pddl,0.9363851185362477,GPT-5.4,2
madagascar,depots,instance-14.pddl,0.9320852970090039,Claude Opus 4.6,2
madagascar,depots,instance-16.pddl,0.9169394678804265,Gemini 3.1 Pro,2
madagascar,depots,instance-17.pddl,0.9447992441720914,Gemini 3.1 Pro,1
madagascar,depots,instance-18.pddl,0.9363483905480163,Claude Opus 4.6,3
madagascar,depots,instance-19.pddl,0.9198765692794737,Claude Opus 4.6,1
madagascar,ricochet-robots,instance-01.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-02.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-03.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-04.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-07.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-08.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-09.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-11.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-12.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-13.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-14.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-16.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-17.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-18.pddl,0.0,DeepSeek-R1,1
madagascar,ricochet-robots,instance-19.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-01.pddl,1.0,Claude Opus 4.6,2
madagascar,snake,instance-02.pddl,1.0,Claude Opus 4.6,1
madagascar,snake,instance-03.pddl,1.0,GPT-5.4,3
madagascar,snake,instance-04.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-07.pddl,0.922521735428687,Claude Opus 4.6,1
madagascar,snake,instance-08.pddl,0.8108706020796508,Claude Opus 4.6,2
madagascar,snake,instance-09.pddl,0.9459695996649968,Gemini 3.1 Pro,1
madagascar,snake,instance-11.pddl,0.9498725660902374,Claude Opus 4.6,3
madagascar,snake,instance-12.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-13.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-14.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-16.pddl,0.7028409674684233,Claude Opus 4.6,3
madagascar,snake,instance-17.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-18.pddl,0.0,DeepSeek-R1,1
madagascar,snake,instance-19.pddl,0.0,DeepSeek-R1,1
madagascar,visitall,instance-01.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-02.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-03.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-04.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-07.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-08.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-09.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-11.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-12.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-13.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-14.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-16.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-17.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-18.pddl,0.0,DeepSeek-R1,2
madagascar,visitall,instance-19.pddl,0.0,DeepSeek-R1,2
